text,label
"Wow, what a total let down! The fact people think this film is scary is ridiculous. The special effects were a direct rip-off of ""The ring."" The story? Was there one? Not in my opinion..Just a bunch of flashy imaging. The entire film was a boring, stupid, mess. I guess there is always a market for bad films with good marketing campaigns. However, this is the worst horror film I have seen in years. And that Buffy chick? Well, she's a bad actress! As plastic as Barbie and just as talented..No, wait, that would be an insult to the talents of Barbie! I suppose many kiddies helped this film at the box office as it was PG-13, and had it been rated R, it would have bombed IMO! Stupid movie!",0
"If Bob Ludlum was to see this mini series, he would have cried. This was complete waste of time and money. I have read the book and even though movies are not exactly what the book may be, CBS wasted time and money on this and it is embarrassing to claim that this was Ludlum's work.<br /><br />May be the creator should check out the Bourne Identity with Richard Chamberlain and see how good that TV series was.<br /><br />Poor Mira, Blair, Anjelica and Colm, why did they sign to stoop this low?<br /><br />Horrible!!",0
"To call a film about a crippled ghost taking revenge from beyond the grave lame and lifeless would be too ironical but this here is an undeniably undistinguished combination of GASLIGHT (1939 & 1944) via LES DIABOLIQUES (1954); while still watchable in itself, it's so cliché-ridden as to provoke chuckles instead of the intended chills. However, thanks to the dire straits in which the British film industry found itself in the late 1970s, even a mediocre script such as this one was able to attract 10 star names - Cliff Robertson (as the conniving husband), Jean Simmons (in the title role), Jenny Agutter (as Robertson's artist half-sister), Simon Ward (as the enigmatic chauffeur), Ron Moody (as an ill-fated doctor), Michael Jayston (as Robertson's business partner), Judy Geeson (as Simmons' best friend and Jayston's wife), Flora Robson (as the housekeeper), David Tomlinson (as the notary reading Simmons' will) and, most surprisingly perhaps, Jack Warner (as a gravestone sculptor) - although most of them actually have nothing parts, I'm sorry to say!",0
"they have sex with melons in Asia.<br /><br />okay. first, i doubted that, but after seeing the wayward cloud, i changed my mind and was finally convinced that they have sex with watermelons, with people dead or alive. no safe sex of course. the (terrifyingly ugly) leading man shoots it all into the lady's mouth after he did the dead lady. never heard of HIV? guess not.<br /><br />the rest of this movie is mainly boring, but also incredibly revolting. as a matter of fact, in parts it got so disgusting i couldn't take my virgin eyes off. sex with dead people! how gross is that? and what's the message behind it all? we need water, we need melons, we need to be dead to have sex? sorry, but this stinks!",0
"Although the production and Jerry Jameson's direction are definite improvements, ""Airport '77"" isn't much better than ""Airport 1975"": slick, commercial rubbish submerging (this time literally) a decent cast. Jack Lemmon is the pilot of a packed airliner which gets hijacked by art thieves and crashes into the sea (all the publicity claimed it was near the Bermuda Triangle, but there's no mention of it in the film itself). When the rescue ships come to raise the airplane out of the water, we see all their cranes dropping (rather blindly) into the ocean and it's hard not to laugh (imagining the cranes plugging the plane, the passengers and the waterlogged script). NBC used to air what appeared to be the ""director's cut"", with at least an hour of extra footage--mostly flashbacks--injected into the proceedings with all the subtlety of a ""Gilligan's Island"" episode. Most exciting moment is the plane crash, and some of the players have a little fun: Lee Grant is an obnoxious drunk, Brenda Vaccaro a no-nonsense stewardess, Joseph Cotten and Olivia de Havilland are flirting oldsters. Still, the personality conflicts and the excruciating military detail eventually tear at one's patience. ** from ****",0
"This movie was so very badly written. The characters had no depth. They should have never made a movie of this. My 11 yr old son could write a better screenplay then Hyung-rae Shim.<br /><br />The only actor that didn't suck was the zoo guard. He was the only funny and believable one of the lot.<br /><br />I love movies and try to give them the benefit of the doubt, but this one was up there on my lame list at number 2. Number 1 being Demonicus.<br /><br />For those of you who actually thought this was a good movie, you are in serious need of brain surgery.<br /><br />Most of the creatures in the movie weren't even dragons...so why did they call D-war?",0
"The fact that there are positive comments about Dan in Real Life on the IMDb just makes me realize that their junket staff are hard at work trying to get people to watch this utterly horrific film.<br /><br />I have no words, no idea where to start to describe the truly awful film I sat through last night - Dan in Real Life. Steve's characters in previous films led me to believe that I would feel something for his character and enjoy the dialog but like other posters I felt uncomfortable and embarrassed for the cast.<br /><br />The dialog was so contrived, the family was this cookie cutter Walton's family and the film has been so many times before that I am shocked someone thought it was an original idea.<br /><br />Do yourself a favor and take a pass on this terrifyingly bad movie and don't believe everything you read on the IMDb since the first comments were clearly written by folks sitting in a different theater watching a GOOD film.",0
"Okay, I rented this movie because of the director...he has made some interesting flicks in the past (if you haven't seen Waxork you are missing a fun ride). Anyway, I had my doubts about this movie from the beginning but I decided to suck it up and give it a look. It's bad. Very bad. If you haven't seen the movie and don't mind spoilers read ahead. First of all, the old saying 'You can't judge a book by it's cover' applies here. The box for this flick seems to indicate that Jill is the stone fox with long hair with highlights. The back of the box has a cool shot of the red-leather Jill and some other shots. The description makes you want to rent the movie because it SOUNDS good. You start watching it and suddenly you find out that the movie takes place (inexplicably) in 1977. Jill is a total dog who is not the girl on the cover. The movie is not quite as predictable as you would think...and that's not a good thing. Characters do so many stupid things without any modicum of motivation...it's embarrassing to watch. 10 minutes before the end of the movie Dolph and another lady have sex for no good reason. Also, what was the point of having Dolph kill this other lady in cold blood who had been helping him. Anthony Hickox the director should have seen a stinker when he read the script. Had it been set in the underworld of the new milennium and made the characters halfway intelligent it might have been decent. To set it in the 70's makes no sense and has no bearing on the story whatsoever. Avoid it!",0
"the guy who wrote, directed and stared in this shocking piece of trash should really consider a carer change. Yes Rob Stefaniuk, i mean you! Seriously, who funded this crap? there are so many talented writers out there whom money could be better spent on. I think the idea is great but the acting, script and directing is just plain awful! The jokes are so not funny, I understand that they are supposed to be taking the mickey. BUT do it with style, this movie is screaming 1995 Saturday night live skits. Why, I say again why do studios give money to hacks like Rob Stefaniuk - NEVER GIVE A COMEDIAN THE Opportunity TO WRITE DIRECT AND STAR IN HIS OWN MOVIE. DUH!",0
"It's been nearly 30 years, and I STILL hate everyone involved in this movie. It remains the worst movie I've ever seen.<br /><br />Before seeing this, I never much minded Rivers, one way or the other. After seeing this movie, I have an allergic reaction when I accidentally see her on television.<br /><br />I got dragged to this - against my better judgment - by peer pressure. However, coming out of the theater, those friends swore an oath to never again overrule my choice of movie. Nearly thirty years later, we still carry around mental scars from this movie.<br /><br />On my deathbed, one of my regrets will be the time I wasted hoping that this movie might get better. It never did.<br /><br />If you are ever given a choice, you would prefer putting your own eyes out to sitting though this movie.<br /><br />I registered for IMDb comments just in the hope that perhaps I can warn others against viewing this movie. If I can save just one person from watching this, then my existence on this earth will have been justified.",0
